name	kind	style	score	score_counts	first_release_time	play_status	official_name	tv_station	school	language	station_ranking	level	resource_views	collect_counts	translator	scenarist	starring	alias	director	cycle	area	company	imdb
雪茫危机	日剧	枪战	8.0		2000-08-19 周六		Whiteout	其他		日语											日本		
无声风铃	电影	剧情	8.6		2012-07-09		Soundless Wind Chime			英语/粤语/德语	2906				暂无						香港		
流星之绊	日剧	悬疑	9.6		2008-10-17 周五		流星の绊	TBS		日语											日本		
三个臭皮匠	电影	喜剧	8.3		2012-04-13 周五		The Three Stooges 			英语	3853				暂无						美国	二十世纪福斯电影公司	
爱情流弹	电影	剧情/爱情	9.6		2010-07-01 周四		Loose Cannons			意大利语	357				暂无						意大利		
警视厅安积班	日剧	悬疑	8.5		2012-04-09 周一		Hancho	TBS		日语											日本		
永远在一起/永远两个人	日剧	爱情	8.4		2003-01-06 周一		Itsumo Futari De	富士		日语											日本		
无字头四杀手	电影	动作/喜剧/惊悚	8.0		1998-04-24 周五		The Big Hit 			英语	4832				暂无						美国		
沉默先生	电影	恐怖	0.0		2010-08-26 周四		Mr.Hush			英语	10455				暂无						美国		
诺曼底的红玫瑰	电影	战争	8.0		2011-08-11 周四		Red.Rose.of.Normandy.			英语	4482				暂无						美国		
每日秀	美剧	喜剧	9.7		1996-07-22 周一		The Daily Show with Jon Stewart 	Comedy Central		英语											美国		
变形金刚08新版动画	美剧	动画	9.5		2008-01-05 周六		Transformers Animated	TBS		英语											美国		
大而不倒	电影	剧情	8.6		2011-06-01 周三		Too Big to Fail 			英语	2935				暂无						美国		
纽约故事	电影	剧情/喜剧/爱情	7.7		1989-05-12 周五		New York Stories			英语	5647				暂无						美国		
战争回忆	电影	动作/战争/剧情/历史/生活	7.3		2011-10-21 周五		Memorial Day 			英语	6573				暂无						美国		
皮囊（美版）	美剧	剧情/生活/青春	7.2		2011-04-22 周五		Skins US	MTV		英语											美国		
好莱坞电影特效制作教程第一季【内置简体中文字幕】	美剧	纪录	9.4		2011-04-02 周六		FILM RIOT S1E1-E12	其他		英语											美国		
龟岛探秘	电影	纪录	4.7		1999-04-07 周三		IMAX Galapagos			英语	9729				暂无						美国		
诱饵新娘	电影	剧情/喜剧	8.0		2011-04-15 周五		The Decoy Bride			英语	5024				暂无						美国		
异教徒2	电影	剧情/恐怖/惊悚/悬疑	0.0		2010-04-10 周六		The Innkeepers			英语	10680				暂无						英国		
猎魔人	美剧	魔幻/恐怖/惊悚	6.8		2009-04-23 周四		Demons	FX		英语											美国		
乔伊	美剧	喜剧	9.2		2005-04-07 周四		Joey	NBC		英语		A			Classic字幕组						美国		
人体蜈蚣2	电影	血腥	7.5		2011-10-07 周五		The Human Centipede II (Full Sequence)			英语	5566				暂无						西班牙		
拯救林荫大道	电影	喜剧/惊悚	8.0		2011-07-15 周五		Salvation Boulevard			英语	4745				暂无						美国		
粉红男郎	电影	动作/喜剧	6.7		2011-11-08 周二		Desi Boyz			英语	7641	A			暂无						印度		
野性男孩 第一季	剧		7.4				Wild Boys Season 1																
母亲河	电影	剧情/喜剧	4.3		2010-10-30		マザーウォーター			日语	9850				暂无						日本		
单刀直入	电影	动作/惊悚	5.5		2012-03-08		À bout portant			法语	9203				暂无						法国		
阿飞物语	电影	剧情	0.0		2011-01-21		Neds			英语	10419				暂无						英国		
情不自禁爱上你	电影	喜剧/爱情	8.0		2007-08-09 周四		I.Could.Never.Be.Your.Woman			英语	4735				暂无						美国		
偷香	电影	剧情/爱情	6.5		1996-03-29 周五		Stealing Beauty			英语	7984	A			暂无						意大利		
曼斯菲尔德庄园	电影	剧情/喜剧/爱情	9.1		1999-08-27		Mansfield Park			英语	1401				暂无						英国		
斑马人2：斑马城的反攻	电影	动作	8.0		2010-05-01		ゼブラーマン 2  ゼブラシティの逆襲			日语	4399				暂无						日本		
天罡星下凡	电影	动作	0.0		2010-10-19 周二		Born to Raise Hell			英语	10382				暂无						美国		
请别相信她	电影	喜剧/爱情	6.0		2004-01-16		그녀를 믿지 마세요			韩语	8669				暂无						韩国		
双重危机	电影	剧情/惊悚/悬疑	5.3		1999-09-21 周二		Double Jeopardy			英语	9397				暂无						美国		
站着睡觉的树	电影	爱情	0.0		2010-12-09 周四		서서 자는 나무			韩语	10436				暂无						韩国		
